sentence,label,GPT3_response
"Kylie heard the implication in the camp leader 's voice : that Jane Doe didn 't want to remember because she 'd murdered innocent children .
",NN, The number of the object of the sentence is singular.
"Someone rushed forward to Douglas the minute they entered the gallery .
",NN, The number of the object of the sentence is singular.
"How the hell do you define cost effective on compassionate issues ?
",NN," The number of the object of the sentence ""How the hell do you define cost"
""" Unload your packs on the side of the trail .
",NNS," The number of the object of the sentence ""Unload your packs on the side"
"They didn 't allow their wives to make any decisions on their own .
",NNS," The number of the object of the sentence ""They didn 't allow their wives"
"Hell hath no fury - Her eyes widened , her mind jumping to the conversation she 'd had with Mariel .
",NN, The number of the object of the sentence is singular.
"The cook and her helper were clearing dishes away by that time .
",NNS," The number of the object of the sentence ""The cook and her helper were clearing"
"But he had strong cheekbones and a squared jaw that would someday make him a handsome man .
",NNS, The number of the object of the sentence is singular.
"Grant gave a yawn of his own .
",NN," The number of the object of the sentence ""Grant gave a yawn of his own"
""" Because we both have issues with codependency . ""
",NNS," The number of the object of the sentence ""Because we both have issues with cod"
"I covered my tracks .
",NNS," The number of the object of the sentence ""I covered my tracks"" is singular"
""" Show Woods some respect !
",NN," The number of the object of the sentence ""Show Woods some respect!"" is singular"
"My maternal grandparents live a few blocks away .
",NNS," The number of the object of the sentence ""My maternal grandparents live a few blocks"
"Jake pressed his palms against his ears .
",NNS," The number of the object of the sentence ""Jake pressed his palms against his ears"
"And I have some pink and green ribbons left over from a dress I made for Haley .
",NNS, The number of the object of the sentence is singular.
"Anger replaced my numbness .
",NNS," The number of the object of the sentence ""Anger replaced my numbness."""
"He scanned their surroundings .
",NNS," The number of the object of the sentence ""He scanned their surroundings"" is plural"
"Following his example , she traced his hip , first with her fingers then with her tongue .
",NN, The number of the object of the sentence is singular.
"I checked the clock .
",NN," The number of the object of the sentence ""I checked the clock."" is singular"
"At dinner , George got canned tuna fish and ate it from a dish beside Ben 's chair .
",NN, The number of the object of the sentence is singular.
"But that gave them no clues as to the exact location .
",NNS," The number of the object of the sentence ""But that gave them no clues as"
"It had a sizzle , a wildness that swept through both of them , making time and location irrelevant .
",NN, The number of the object of the sentence is singular.
"He certainly had other interests ... like throwing her off balance .
",NNS," The number of the object of the sentence ""He certainly had other interests ... like"
"But the fact that you believe it ... That speaks volumes .
",NNS," The number of the object of the sentence ""But the fact that you believe it"
"She does not take caution .
",NN," The number of the object of the sentence ""She does not take caution"" is"
""" I didn 't want the responsibility .
",NN," The number of the object of the sentence ""I didn't want the responsibility."""
"He put his fork down again .
",NN," The number of the object of the sentence ""He put his fork down again."""
"But his mouth waited just inches from hers , the mouth that had pressed kisses to every inch of her skin .
",NNS, The number of the object of the sentence is singular.
"They were checking numbers .
",NNS," The number of the object of the sentence ""They were checking numbers"" is plural"
"Maybe he 'll finally get the guts to come over .
",NNS," The number of the object of the sentence ""Maybe he 'll finally get the"
"The chipmunk played no more heed and rushed up the trunk of a tree of the Mila Forest .
",NN," The number of the object of the sentence ""The chipmunk played no more"
"I could hear shouts and feet pounding on the earth .
",NNS," The number of the object of the sentence ""I could hear shouts and feet pounding"
"He fought the emptiness that threatened to swallow him .
",NNS," The number of the object of the sentence ""He fought the emptiness that threatened to"
"I 'll make amends , until the end of my days . ""
",NNS," The number of the object of the sentence ""I 'll make amends ,"
"I like roofs better .
",NNS," The number of the object of the sentence ""I like roofs better."" is singular"
"A deep , long kiss , as he savored the sweetness that was his Claire .
",NN, The number of the object of the sentence is singular.
"He should have skipped the category altogether .
",NN," The number of the object of the sentence ""He should have skipped the category altogether"
"We had a booth to ourselves on the main floor .
",NN," The number of the object of the sentence ""We had a booth to ourselves on"
"I 'll take my chances .
",NNS," The number of the object of the sentence ""I 'll take my chances ."
"Her friends might give her advice , but there isn 't a steady stream of money coming from anywhere but her business . ""
",NN, The number of the object of the sentence is singular.
"Neil snagged a notepad and pen last and checked out .
",NN," The number of the object of the sentence ""Neil snagged a notepad and"
"She was carrying a leather handbag that had cost more than two of my outfits , which mostly come from Wal-Mart .
",NN, The number of the object of the sentence is singular.
"The sound of her whispering his name and the amazing sensation of her pleasure triggered his own release from the tension gripping him .
",NN, The number of the object of the sentence is singular.
"It contained files of multiple case briefs .
",NNS," The number of the object of the sentence ""It contained files of multiple case briefs"
"Free drugs forever , man .
",NNS," The number of the object of the sentence ""Free drugs forever , man .
"
"He proudly viewed his victims in a heap .
",NNS," The number of the object of the sentence ""He proudly viewed his victims in a"
""" And I got some sweet samples for my bowl .
",NNS," The number of the object of the sentence ""And I got some sweet samples for"
""" I heard rumors that James 's purchase of the company wasn 't solely done on the up and up , so to speak .
",NNS, singular
"I grabbed both our plates and dumped them in the sink .
",NNS," The number of the object of the sentence ""I grabbed both our plates and dumped"
"I first crossed paths with Jesse Taylor on Reception Day .
",NNS," The number of the object of the sentence ""I first crossed paths with Jesse Taylor"
