sentence,label,GPT3_response
"She leaped toward Jasper even as she screamed , "" Shoot him , Cale ! ""
",PAST, The tense of the sentence is past.
"You wash all of our laundry .
",PRES," The tense of the sentence ""You wash all of our laundry."" is present."
""" The sand yacht . ""
",PRES, The tense of the sentence is present.
"A look of question pops on his face .
",PRES," The tense of the sentence ""A look of question pops on his face."" is present."
""" Beauty fades , but dumb is forever , "" Scarlet countered .
",PAST, The tense of the sentence is present.
"The word ' forever ' lingered in my mind .
",PAST," The tense of the sentence ""The word ' forever ' lingered in my mind .
"" is past."
"Simon tugged on the chain .
",PAST," The tense of the sentence ""Simon tugged on the chain"" is present."
""" It helps you fight off an attack , and it 's truly remarkable , but I don 't want you to do it right now .
",PRES, The tense of the sentence is present.
"I prayed to God that the principal be ' on leave ' that day .
",PAST, The tense of the sentence is past.
"You just assume all outcomes will be in your favor .
",PRES," The tense of the sentence ""You just assume all outcomes will be in your favor"" is present."
"-- Amir Ahmed CHAPTER ONE : THE SANTA "" Over there ! ""
",PRES," The tense of the sentence ""-- Amir Ahmed CHAPTER ONE : THE SANTA "" Over there ! "" is present."
"Water sloshed over the rim , drenching the front of my red devil costume .
",PAST," The tense of the sentence ""Water sloshed over the rim , drenching the front of my red devil costume .
"" is past."
"Its fist smashed the rocky ground in a synchronized wave , rattling the surroundings .
",PAST, The tense of the sentence is present.
"Clay hired him on the spot for $ 75,000 a year .
",PAST, The tense of the sentence is past.
""" Oh no , "" exclaimed Sam .
",PAST, The tense of the sentence is present.
"Small , blond , curvy .
",PRES," The tense of the sentence ""Small , blond , curvy ."" is present."
"I flick my tongue across his swollen head .
",PRES," The tense of the sentence ""I flick my tongue across his swollen head"" is present."
""" This baby is a Hightower , dear , "" Beth countered .
",PAST, The tense of the sentence is present.
"He massaged one tantalizing breast , enjoying the way her skin flushed under his gentle caress .
",PAST, The tense of the sentence is past.
""" Not repulsive . ""
",PRES, The tense of the sentence is present.
"She donned her boy shorts and long-sleeve Henley before returning to her room .
",PAST, The tense of the sentence is past.
"As if she truly didn 't care whether or not someone loved her , as long as he at least pretended to .
",PAST, The tense of the sentence is present.
"Her mouth freezes open halfway as the brown wooden door finally slides open and a man walks out .
",PRES, The tense of the sentence is past.
"He unzipped the outer pocket and extracted the small case that carried Deuce 's extra set of contacts .
",PAST, The tense of the sentence is past.
"Emily clutched her arms around herself .
",PAST," The tense of the sentence ""Emily clutched her arms around herself"" is present."
""" I 'm going to be more honest with you right now , Jess , than I 've ever been with anyone in my life .
",PRES, The tense of the sentence is present.
"It falls to the sand in a pile of plastic and string .
",PRES," The tense of the sentence ""It falls to the sand in a pile of plastic and string"" is present."
"The sun rises and sets on that kid . ""
",PRES," The tense of the sentence ""The sun rises and sets on that kid."" is present."
"Oil Wrestlers Gone Wild . ""
",PRES," The tense of the sentence ""Oil Wrestlers Gone Wild"" is present."
""" She belongs to the family , and we belong to her .
",PRES, The tense of the sentence is present.
"Her gaze falls on Kai .
",PRES," The tense of the sentence ""Her gaze falls on Kai"" is present."
"He stops , and looks back at me .
",PRES," The tense of the sentence ""He stops , and looks back at me .
"" is present."
""" Then I apologize ! ""
",PRES, The tense of the sentence is present.
"I crawled on the floor to the windows .
",PAST," The tense of the sentence ""I crawled on the floor to the windows"" is past."
""" Madeleine , "" he rasped out .
",PAST, The tense of the sentence is past.
"Joe stiffened , suddenly on alert .
",PRES," The tense of the sentence ""Joe stiffened , suddenly on alert .
"" is present."
"I crave it for myself and my child , but it feels so unattainable . ""
",PRES, The tense of the sentence is present.
"He moaned something indecipherable in his sleep , tucking his face into my neck .
",PAST, The tense of the sentence is past.
"I bounced back when I ran into a girl the size thrice as me .
",PAST, The tense of the sentence is past.
""" It 's her , "" Skyla whispers .
",PRES, The tense of the sentence is present.
""" Oh , honey , it 's beautiful , "" her mother exclaimed .
",PAST, The tense of the sentence is present.
"the thin old man drawled insultingly .
",PAST," The tense of the sentence ""the thin old man drawled insultingly"" is past."
"My fist hovers in front of the door .
",PRES," The tense of the sentence ""My fist hovers in front of the door"" is present."
