sentence,label,GPT3_response
"Kylie heard the implication in the camp leader 's voice : that Jane Doe didn 't want to remember because she 'd murdered innocent children .
",NN," The number of the object of the sentence is ""that Jane Doe didn't want to remember because she'd murdered innocent children."""
"Someone rushed forward to Douglas the minute they entered the gallery .
",NN," the number of the object of the sentence ""Someone rushed forward to Douglas the minute they entered the gallery"" is ""one""."
"How the hell do you define cost effective on compassionate issues ?
",NN," The number of the object of the sentence ""How the hell do you define cost effective on compassionate issues ?"" is ""one""."
""" Unload your packs on the side of the trail .
",NNS," The number of the object of the sentence is ""packs."""
"They didn 't allow their wives to make any decisions on their own .
",NNS," ""They"" is the subject of the sentence, so the number of the object would be singular, even though there are multiple wives."
"Hell hath no fury - Her eyes widened , her mind jumping to the conversation she 'd had with Mariel .
",NN," The number of the object of the sentence is ""one."""
"The cook and her helper were clearing dishes away by that time .
",NNS," The number of the object of the sentence ""The cook and her helper were clearing dishes away by that time"" is plural."
"But he had strong cheekbones and a squared jaw that would someday make him a handsome man .
",NNS," The number of the object of the sentence ""But he had strong cheekbones and a squared jaw that would someday make him a handsome man."" is singular."
"Grant gave a yawn of his own .
",NN," The number of the object of the sentence ""Grant gave a yawn of his own"" is singular."
""" Because we both have issues with codependency . ""
",NNS," The number of the object of the sentence ""Because we both have issues with codependency."" is two."
"I covered my tracks .
",NNS, There is no object in the sentence.
""" Show Woods some respect !
",NN, Woods
"My maternal grandparents live a few blocks away .
",NNS," ""My maternal grandparents"" is the subject of the sentence, so the number is plural."
"Jake pressed his palms against his ears .
",NNS," The number of the object of the sentence ""Jake pressed his palms against his ears"" is one."
"And I have some pink and green ribbons left over from a dress I made for Haley .
",NNS," There is no number specified in the sentence, so we cannot determine the number of the object."
"Anger replaced my numbness .
",NNS," There is no number listed for the object of the sentence, so it is unknown."
"He scanned their surroundings .
",NNS," The number of the object of the sentence ""He scanned their surroundings."" is plural."
"Following his example , she traced his hip , first with her fingers then with her tongue .
",NN," The number of the object of the sentence is ""one""."
"I checked the clock .
",NN, There is no object in this sentence.
"At dinner , George got canned tuna fish and ate it from a dish beside Ben 's chair .
",NN," The number of the object of the sentence ""At dinner , George got canned tuna fish and ate it from a dish beside Ben 's chair ."" is 1."
"But that gave them no clues as to the exact location .
",NNS," ""That"" is the object of the sentence."
"It had a sizzle , a wildness that swept through both of them , making time and location irrelevant .
",NN," ""It"" is the number of the object of the sentence."
"He certainly had other interests ... like throwing her off balance .
",NNS," The number of the object of the sentence ""He certainly had other interests ... like throwing her off balance"" is ""other."""
"But the fact that you believe it ... That speaks volumes .
",NNS," The number of the object of the sentence ""But the fact that you believe it ... That speaks volumes."" is singular."
"She does not take caution .
",NN, There is no object in the sentence.
""" I didn 't want the responsibility .
",NN," The number of the object of the sentence ""I didn't want the responsibility."" is singular."
"He put his fork down again .
",NN," The number of the object of the sentence ""He put his fork down again."" is singular."
"But his mouth waited just inches from hers , the mouth that had pressed kisses to every inch of her skin .
",NNS, The number of the object of the sentence is one.
"They were checking numbers .
",NNS," The number of the object of the sentence ""They were checking numbers"" is ""numbers""."
"Maybe he 'll finally get the guts to come over .
",NNS," The number of the subject of the sentence is third person singular, so the number of the object of the sentence is also third person singular."
"The chipmunk played no more heed and rushed up the trunk of a tree of the Mila Forest .
",NN," The number of the object of the sentence ""The chipmunk played no more heed and rushed up the trunk of a tree of the Mila Forest ."" is one."
"I could hear shouts and feet pounding on the earth .
",NNS, There is no specific object referred to in the sentence.
"He fought the emptiness that threatened to swallow him .
",NNS, 1
"I 'll make amends , until the end of my days . ""
",NNS," The number of the object of the sentence ""I 'll make amends , until the end of my days . "" is one."
"I like roofs better .
",NNS, One
"A deep , long kiss , as he savored the sweetness that was his Claire .
",NN," The number of the object of the sentence is ""one""."
"He should have skipped the category altogether .
",NN," The number of the object of the sentence ""He should have skipped the category altogether."" is singular."
"We had a booth to ourselves on the main floor .
",NN," ""We had a booth to ourselves on the main floor"" is a sentence about a booth, so the number of the object is singular."
"I 'll take my chances .
",NNS, There is no object in the sentence.
"Her friends might give her advice , but there isn 't a steady stream of money coming from anywhere but her business . ""
",NN," The number of the object of the sentence ""Her friends might give her advice , but there isn't a steady stream of money coming from anywhere but her business."" is 1."
"Neil snagged a notepad and pen last and checked out .
",NN," The number of the object of the sentence ""Neil snagged a notepad and pen last and checked out .
"" is 1."
"She was carrying a leather handbag that had cost more than two of my outfits , which mostly come from Wal-Mart .
",NN," The number of the object of the sentence is ""two."""
"The sound of her whispering his name and the amazing sensation of her pleasure triggered his own release from the tension gripping him .
",NN," The number of the object of the sentence is ""the amazing sensation of her pleasure."""
"It contained files of multiple case briefs .
",NNS, files
"Free drugs forever , man .
",NNS," Free drugs forever , man . is not a sentence."
"He proudly viewed his victims in a heap .
",NNS, There is no object in the sentence.
""" And I got some sweet samples for my bowl .
",NNS," The number of the object of the sentence is ""samples."""
""" I heard rumors that James 's purchase of the company wasn 't solely done on the up and up , so to speak .
",NNS," The number of the object of the sentence is ""so to speak."""
"I grabbed both our plates and dumped them in the sink .
",NNS, The number of the object of the sentence is two.
"I first crossed paths with Jesse Taylor on Reception Day .
",NNS," The number of the object of the sentence ""I first crossed paths with Jesse Taylor on Reception Day"" is one."
""" I don 't have any contracts for it right now .
",NNS," The number of the object of the sentence is ""0""."
"That light touch alone sent her senses soaring .
",NNS," The number of the object of the sentence ""That light touch alone sent her senses soaring."" is singular."
"With a flick of his wrist , he parted the folds of my skirt .
",NNS," The number of the object of the sentence ""With a flick of his wrist , he parted the folds of my skirt ."" is singular."
"She racked her brains to think what could have possibly got the government 's attention ?
",NNS," the number of the object of the sentence ""She racked her brains to think what could have possibly got the government 's attention ?"" is ""one""."
