sentence,label,GPT3_response
"She leaped toward Jasper even as she screamed , "" Shoot him , Cale ! ""
",PAST, The tense of the sentence is present tense.
"You wash all of our laundry .
",PRES, This sentence is in the present tense.
""" The sand yacht . ""
",PRES, The sand yacht is a vehicle.
"A look of question pops on his face .
",PRES, The sentence is in the present tense.
""" Beauty fades , but dumb is forever , "" Scarlet countered .
",PAST, The tense of the sentence is present.
"The word ' forever ' lingered in my mind .
",PAST, The word ' forever ' lingers in my mind .
"Simon tugged on the chain .
",PAST," The tense of the sentence ""Simon tugged on the chain"" is present tense."
""" It helps you fight off an attack , and it 's truly remarkable , but I don 't want you to do it right now .
",PRES, The sentence is in the present tense.
"I prayed to God that the principal be ' on leave ' that day .
",PAST, The sentence is in the past tense.
"You just assume all outcomes will be in your favor .
",PRES, The sentence is in the present tense.
"-- Amir Ahmed CHAPTER ONE : THE SANTA "" Over there ! ""
",PRES," The tense of the sentence ""-- Amir Ahmed CHAPTER ONE : THE SANTA "" Over there ! ""
"" is present tense."
"Water sloshed over the rim , drenching the front of my red devil costume .
",PAST, The tense of the sentence is present tense.
"Its fist smashed the rocky ground in a synchronized wave , rattling the surroundings .
",PAST, The tense of the sentence is past tense.
"Clay hired him on the spot for $ 75,000 a year .
",PAST, The tense of the sentence is past.
""" Oh no , "" exclaimed Sam .
",PAST, The tense of the sentence is present tense.
"Small , blond , curvy .
",PRES," The tense of the sentence ""Small , blond , curvy ."" is present tense."
"I flick my tongue across his swollen head .
",PRES, The tense of this sentence is present tense.
""" This baby is a Hightower , dear , "" Beth countered .
",PAST, The sentence is in the present tense.
"He massaged one tantalizing breast , enjoying the way her skin flushed under his gentle caress .
",PAST, The sentence is in the present tense.
""" Not repulsive . ""
",PRES, The sentence is in the present tense.
"She donned her boy shorts and long-sleeve Henley before returning to her room .
",PAST, The sentence is in the past tense.
"As if she truly didn 't care whether or not someone loved her , as long as he at least pretended to .
",PAST, The tense of the sentence is present.
"Her mouth freezes open halfway as the brown wooden door finally slides open and a man walks out .
",PRES, The tense of the sentence is present perfect.
"He unzipped the outer pocket and extracted the small case that carried Deuce 's extra set of contacts .
",PAST, The tense of the sentence is past.
"Emily clutched her arms around herself .
",PAST," The tense of the sentence ""Emily clutched her arms around herself."" is present tense."
""" I 'm going to be more honest with you right now , Jess , than I 've ever been with anyone in my life .
",PRES, The sentence is in the present tense.
"It falls to the sand in a pile of plastic and string .
",PRES, The sentence is in the present tense.
"The sun rises and sets on that kid . ""
",PRES, The sentence is in the present tense.
"Oil Wrestlers Gone Wild . ""
",PRES, The sentence is in the present tense.
""" She belongs to the family , and we belong to her .
",PRES, The tense of the sentence is present tense.
"Her gaze falls on Kai .
",PRES, The sentence is in the present tense.
"He stops , and looks back at me .
",PRES," The tense of the sentence ""He stops , and looks back at me ."" is present tense."
""" Then I apologize ! ""
",PRES, The sentence is in the present tense.
"I crawled on the floor to the windows .
",PAST," The tense of the sentence ""I crawled on the floor to the windows"" is past tense."
""" Madeleine , "" he rasped out .
",PAST, The tense of the sentence is past.
"Joe stiffened , suddenly on alert .
",PRES," The tense of the sentence ""Joe stiffened , suddenly on alert .
"" is present tense."
"I crave it for myself and my child , but it feels so unattainable . ""
",PRES, The tense of the sentence is present tense.
"He moaned something indecipherable in his sleep , tucking his face into my neck .
",PAST, The tense of the sentence is present tense.
"I bounced back when I ran into a girl the size thrice as me .
",PAST," The tense of the sentence ""I bounced back when I ran into a girl the size thrice as me ."" is in the past tense."
""" It 's her , "" Skyla whispers .
",PRES, The sentence is in the present tense.
""" Oh , honey , it 's beautiful , "" her mother exclaimed .
",PAST, The sentence is in the present tense.
"the thin old man drawled insultingly .
",PAST, The sentence is in the past tense.
"My fist hovers in front of the door .
",PRES, Present tense
"You and that brat .
",PRES, The sentence is in the present tense.
"Adel sees that Nora has made up her mind .
",PRES," The tense of the sentence ""Adel sees that Nora has made up her mind"" is present perfect."
"The afflicted exhaled and it was over .
",PAST, The sentence is in the past tense.
"fake Mira commanded , pointing at Jace .
",PAST, The sentence is in the past tense.
"But he nods , resolute with this plan .
",PRES," The tense of the sentence ""But he nods , resolute with this plan ."" is present tense."
""" He stole the money from the evidence room .
",PAST, The sentence is in the past tense.
"He chuckles then pats my shoulders as if to say my back is now free of dirt .
",PRES," The tense of the sentence ""He chuckles then pats my shoulders as if to say my back is now free of dirt"" is present tense."
"At the second station he ceased to exist . ""
",PAST, The sentence is in the past tense.
"But his eyes glowed with obvious pride and satisfaction as he looked at his three daughters .
",PAST," The tense of the sentence ""But his eyes glowed with obvious pride and satisfaction as he looked at his three daughters"" is past tense."
""" You out sightseeing , or are you looking for something ? ""
",PRES, The tense of the sentence is present tense.
"For the first time in his life , Timothy wishes he were shorter .
",PRES, The sentence is in the present tense.
"A recording of a soft female voice announced the name of the next station .
",PAST," The tense of the sentence ""A recording of a soft female voice announced the name of the next station."" is present tense."
"She reaches high , so high , followed in every movement by the strings as if they are at her command .
",PRES, The sentence is in the present tense.
"And he brings a friend named Reynaldo .
",PRES," The tense of the sentence ""And he brings a friend named Reynaldo."" is present tense."
"She likes your dress . ""
",PRES, The sentence is in the present tense.
"Dad snaps his head up .
",PRES, The sentence is in the present tense.
"Exiting with two other gentlemen she did not recognize , the angel in disguise accompanied the men inside the squat Kondo with its curving double roof .
",PAST, The tense of this sentence is past tense.
"Not a speck of dust blanketed the exposed woodwork .
",PAST, The sentence is in the present tense.
"He opens the door , his right hand automatically reaching for the pull switch hanging from the ceiling and the room lights up .
",PRES, The sentence is in the present tense.
"He sniffed the wind .
",PAST, The sentence is in the present tense.
"Kai clears his throat , and both maidens look over at him .
",PRES," The tense of the sentence ""Kai clears his throat , and both maidens look over at him ."" is present tense."
"By our laws , you acted within your rights .
",PAST," The tense of the sentence ""By our laws, you acted within your rights."" is present tense."
""" But , Crawlers , "" I insist .
",PRES, The tense of the sentence is present.
"I exhaled a quick laugh .
",PAST, The sentence is in the present tense.
"He eyed the rivers of sweat snaking their way down his body .
",PAST, The tense of this sentence is present tense.
"Those words pound in my head as my feet slap the pavement .
",PRES, The sentence is in the present tense.
"In playful terror , the animal fled , and took refuge under his bed .
",PAST," The tense of the sentence ""In playful terror , the animal fled , and took refuge under his bed ."" is past tense."
"I blushed and looked down at my feet .
",PAST," The tense of the sentence ""I blushed and looked down at my feet"" is present tense."
"Good ... The word bounced around the fragmented edges of Peter 's completely blown mind , not finding any relevant echo to what he was feeling .
",PAST, The tense of the sentence is present perfect.
"An electric silence vibrated between them , arcing and spitting tension .
",PAST, The sentence is in the present tense.
"They either home schooled their kids , sent them to the public institutions their community operated on very rare occasions , or sent them to private schools .
",PAST, The tense of the sentence is present tense.
"She fed sensuously , her body undulating against his , her buttocks pressing against him , the friction an enticement , a temptation .
",PRES, The sentence is in the present tense.
"Cooper chuckles and grabs my wrist , stopping me .
",PRES, The tense of the sentence is present tense.
"Someone clears their throat , and we both look toward Lennox , and most of the vigilantes who are watching us with curious expressions on their faces .
",PRES, The sentence is in the present tense.
"He installed a telephone in his office for Lara 's calls .
",PAST," The tense of the sentence ""He installed a telephone in his office for Lara 's calls ."" is present perfect."
"In other words , dramatic license strikes again !
",PRES," The tense of the sentence ""In other words , dramatic license strikes again !"" is present tense."
"When it was her son 's turn to wrestle , she cheered him on and clapped the loudest in the crowd when he won .
",PAST, The sentence is in the past tense.
"He lies down on the bed with me and I bury my face into his chest .
",PRES, The tense of the sentence is present tense.
""" Thanks , "" she mumbled under her breath .
",PRES, The tense of the sentence is past tense.
""" Hey , you lookin ' for a date ? ""
",PAST, The tense of the sentence is present tense.
"Charlotte chided him and reached for my hand .
",PAST, The tense of the sentence is present tense.
"Emma falls down into an endless darkness .
",PRES," The tense of the sentence ""Emma falls down into an endless darkness."" is present tense."
"The police dog 's tail wagged vigorously as he escorted them to the waiting car .
",PAST, The sentence is in the present tense.
"The deck of cards emerged and we started the now familiar routine .
",PAST, The sentence is in the past tense.
""" No flying cups , reports or fists . ""
",PRES, The sentence is in the present tense.
"The upstairs hall light shone down the steps .
",PRES, The sentence is in the past tense.
"While her heroines often wield a sword , they equally value the skilled use of their intelligence , wisdom , courage , and compassion .
",PRES, The tense of the sentence is present tense.
"So we created the school to find at-risk students and keep them under a watchful eye . ""
",PAST, The sentence is in the past tense.
"His eyes fastened on mine as his mouth lingered above me .
",PAST, The sentence is in the present tense.
"He nods his head .
",PRES, The sentence is in the present tense.
"They proceeded directly toward the site , following the overhead laser beams .
",PAST," The tense of the sentence ""They proceeded directly toward the site , following the overhead laser beams ."" is present tense."
"Eric returned with a stack of newspaper , matches to light the fire , the makings for s 'm ores , and a patio chair cushion .
",PRES, The tense of the sentence is past.
