sentence,label,GPT3_response
"Russian regulations were simpler for students while work visas and permits were tough to come by .
",NNS, singular
"Her pulse thumped in her throat .
",NN," This sentence is in the third person, so the number of the subject is singular."
"Things looked bad for the bats .
",NNS, The subject of the sentence is plural.
"Her pulse thundered in her ears .
",NN, Sungular
""" His English skills aren 't very good , are they ? ""
",NNS, singular
"The bastard loved this .
",NN, singular
"Flowers and fine food were the order of the day .
",NNS, The subject of the sentence is singular.
"There were no dents .
",NNS," The subject of the sentence is ""dents,"" which is plural."
"The main greenhouse was magnificent .
",NN, The number of the subject of the sentence is singular.
"His secretary has been working for him for years and does her job well .
",NN, singular
"Spanish moss hung like spiderwebs , making the woods look even more foreboding .
",NNS, Singular
"There were many rumours that the planet was a burnt-out husk of radiation . ""
",NNS," The number of the subject of the sentence ""There were many rumours that the planet was a burnt-out husk of radiation."" is plural."
"The vein on his forehead throbbed and sweat soaked his collar , while his heart pounded wildly .
",NN, The subject of the sentence is singular.
""" The levels are too high .
",NNS," In this sentence, the number of the subject (""levels"") is plural."
""" When did the footsteps stop ? ""
",NNS," The number of the subject of the sentence ""When did the footsteps stop?"" is singular."
"Crazy Pete 's sports bar .
",NNS, singular
"Three rocks hisses then bang with a loud noise into the wall .
",NNS," The number of the subject of the sentence ""Three rocks hisses then bang with a loud noise into the wall"" is singular."
"the deputy asked , his voice lower .
",NN, Singular
""" No more puppet shows .
",NN," The subject of the sentence is ""puppet shows,"" which is plural."
"Things could have been far worse ; the world could have been a completely different and far more awful place .
",NNS, The subject of the sentence is plural.
""" Lie back . ""
",NN," The number of the subject of the sentence ""Lie back."" is singular."
"The colors were everywhere , some individual burning lines and some entwined like string wound into rope - stronger , thicker for being joined .
",NNS, Singular
"My record was spotless .
",NN, The subject is singular.
""" His eyeball came out . ""
",NN, singular
"A smug glint entered his eyes .
",NN, singular
"The hills were rocky , a tortuous up and down .
",NNS," The subject of the sentence is ""The hills."" The number is plural."
"Even the worst struggles could end in reunion .
",NNS," The number of the subject of the sentence ""Even the worst struggles could end in reunion."" is plural."
"His belief in her always gave her confidence and she needed that now .
",NN, The subject of the sentence is singular.
"Whoever is exposed , only his past generations feel the effects .
",NNS, The number of the subject of the sentence is singular.
""" You , a nobleman of vast wealth and prestige .
",NN, The number of the subject of the sentence is singular.
"The rope around your waist will protect you if you fall . ""
",NN, The number of the subject of the sentence is singular.
"Physical condition is good .
",NN, singular
"The static gave way to crickets .
",NN," The subject of the sentence is ""The static."""
"The big sucker 's bigger than any building I 've ever worked on .
",NN," The number of the subject of the sentence ""The big sucker's bigger than any building I've ever worked on."" is singular."
"The old gentleman gave her a kindly smile as he stood to greet her with a hug .
",NN, Singular.
"Things had settled down in the world .
",NNS," The number of the subject of the sentence ""Things had settled down in the world."" is plural."
"Did my shyness really bother him so much ?
",NNS," The subject of the sentence is ""shyness."""
"The tentacle entered the tumbler and finished the drink .
",NN," The number of the subject of the sentence ""The tentacle entered the tumbler and finished the drink."" is singular."
"His abdomen bumped into my back and I tried to stamp down the swell inside my heart .
",NN, singular
